City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Serra Negra,BR,-22.61,-46.7,82.4,23,0,3.15,clear sky
327,Buyukcavuslu,TR,41.24,28.06,64.4,88,0,8.05,clear sky
328,Revelstoke,CA,50.98,-118.2,80.6,34,75,8.05,broken clouds
329,Arman,RU,59.7,150.17,50.41,75,98,1.36,overcast clouds
330,Westport,US,41.14,-73.36,75.99,67,72,8.1,broken clouds
331,Abrau-Dyurso,RU,44.69,37.59,64.4,88,40,4.47,scattered clouds
332,Tawau,MY,4.25,117.89,75.2,94,20,4.7,few clouds
333,Luderitz,NA,-26.65,15.16,58.98,69,0,18.21,clear sky
334,Hokitika,NZ,-42.72,170.97,56.5,50,0,3.69,clear sky
335,Durban,ZA,-29.86,31.03,62.6,82,20,1.12,few clouds
336,Dubrovnik,HR,42.65,18.09,68.0,77,0,6.93,clear sky
337,Erenhot,CN,43.65,111.98,62.82,65,20,8.77,few clouds
338,Parambu,BR,-6.21,-40.69,73.9,41,12,2.95,few clouds
339,Sinegorskiy,RU,48.01,40.84,68.85,34,85,9.13,overcast clouds
340,Vao,NC,-22.67,167.48,71.11,78,100,16.62,overcast clouds
341,Khatanga,RU,71.97,102.5,39.65,80,29,4.29,scattered clouds
342,Klaksvik,FO,62.23,-6.59,50.0,100,100,16.11,light rain
343,Jalu,LY,29.03,21.55,76.89,56,0,10.2,clear sky
344,Warrnambool,AU,-38.38,142.48,57.0,67,20,15.01,few clouds
345,Saint Anthony,US,45.02,-93.22,82.4,39,1,18.34,clear sky
346,Kalmunai,LK,7.42,81.82,78.67,71,98,4.85,overcast clouds
347,Kahului,US,20.89,-156.47,89.6,43,20,20.8,few clouds
348,Singapore,SG,1.29,103.85,78.8,94,40,5.1,scattered clouds
349,Paternion,AT,46.71,13.64,57.0,96,67,1.01,moderate rain
350,Pokhara,NP,28.23,83.98,69.96,77,20,2.68,few clouds
351,Sadri,IN,25.18,73.43,78.91,76,74,5.88,broken clouds
352,Wanning,CN,18.8,110.4,81.84,83,100,8.61,overcast clouds
353,Dubbo,AU,-32.25,148.62,59.0,72,0,16.11,clear sky
354,Kayes,ML,14.0,-11.0,76.28,88,82,3.29,broken clouds
355,Thinadhoo,MV,0.53,72.93,82.54,73,100,7.78,light rain
356,Carnduff,CA,49.17,-101.8,62.01,43,65,18.01,broken clouds
357,Kendari,ID,-3.94,122.5,75.69,87,82,3.91,broken clouds
358,Nipawin,CA,53.37,-104.0,51.8,81,40,12.75,scattered clouds
359,Sisimiut,GL,66.94,-53.67,39.79,71,21,15.73,few clouds
